row_number,word,meaning,gold,level,chunk1,chunk1_meaning,chunk2,chunk2_meaning,chunk3,chunk3_meaning,definition,definition_meaning,status,note,checked_at
2975,homeland,旧国、内地、ハイマート,16,C1,,,,,,,,,pending,homeland n.,
2976,homeless,喪家、ホームレス,8,B2,,,,,,,,,pending,homeless adj.,
2977,homework,課題、宿題、ホームワーク,1,A1,,,,,,,,,pending,homework n.,
2978,homogeneous,均質、同質、同質的,32,C2,,,,,,,,,pending,homogeneous (adj),
2979,hone,研ぐ、研ぎ澄ます、磨きをかける,32,C2,,,,,,,,,pending,hone (v),
2980,honest,忠実、硬い、克明,4,B1,,,,,,,,,pending,honest adj.,
2981,honesty,実、信実、真率,8,B2,,,,,,,,,pending,honesty n.,
2982,honey,貴方、妻、蜂蜜,8,B2,,,,,,,,,pending,honey n.,
2983,honor,敬う、賜る、重んじる,8,B2,,,,,,,,,pending,"honor n., v.",
2984,hook,引っ掛ける、フック、針,16,C1,,,,,,,,,pending,hook v.,
2985,hook,針、爪、鉤,8,B2,,,,,,,,,pending,hook n.,
2986,hope,願い、願意、希望,2,A2,,,,,,,,,pending,hope n.,
2987,hope,願う、希望、期待,1,A1,,,,,,,,,pending,hope v.,
2988,hopeful,楽観的、頼もしい、耳より,16,C1,,,,,,,,,pending,hopeful adj.,
2989,hopefully,願わくは、期待を込めて,8,B2,,,,,,,,,pending,hopefully adv.,
2990,horizon,水平線、地平、地平線,16,C1,,,,,,,,,pending,horizon n.,
2991,horn,角、角笛、警笛,16,C1,,,,,,,,,pending,horn n.,
2992,horoscope,星占い、天宮図、ホロスコープ,32,C2,,,,,,,,,pending,horoscope (n),
2993,horrible,最悪、最低、殺人的,4,B1,,,,,,,,,pending,horrible adj.,
2994,horror,恐れ、恐怖、ホラー,4,B1,,,,,,,,,pending,horror n.,
2995,horse,駒、午、馬,1,A1,,,,,,,,,pending,horse n.,
2996,hospice,ホスピス,32,C2,,,,,,,,,pending,hospice (n),
2997,hospital,病院、病舎、ホスピタル,1,A1,,,,,,,,,pending,hospital n.,
2998,host,司会、司会者、主人役,4,B1,,,,,,,,,pending,host n.,
2999,host,受け皿となる、司会、司会者,8,B2,,,,,,,,,pending,host v.,
3000,hostage,人質,16,C1,,,,,,,,,pending,hostage n.,
3001,hostile,険悪、敵対的,16,C1,,,,,,,,,pending,hostile adj.,
3002,hostility,敵意、敵対、反抗,16,C1,,,,,,,,,pending,hostility n.,
3003,hot,暑い、辛い、熱い,1,A1,,,,,,,,,pending,hot adj.,
3004,hotel,宿、客舎、泊まり,1,A1,,,,,,,,,pending,hotel n.,
3005,hour,時、時間、時刻,1,A1,,,,,,,,,pending,hour n.,
3006,house,屋台、家、家屋,1,A1,,,,,,,,,pending,house n.,
3007,house,宿す、住居、屋台,8,B2,,,,,,,,,pending,house v.,
3008,household,一戸、一族、家,8,B2,,,,,,,,,pending,household n.,
3009,housing,屋台、家、家屋,8,B2,,,,,,,,,pending,housing n.,
3010,how,どのように、どれくらい,1,A1,,,,,,,,,pending,how adv.,
3011,however,幾ら、如何に、然しながら,1,A1,,,,,,,,,pending,however adv.,
3012,hubris,自惚れ、思い上がり,32,C2,,,,,,,,,pending,hubris (n),
3013,huge,巨大、広大、多額,2,A2,,,,,,,,,pending,huge adj.,
3014,human,人間的、人的、人間らしい,2,A2,,,,,,,,,pending,"human adj., n.",
3015,humanitarian,仁者、仁人、人道主義者,16,C1,,,,,,,,,pending,humanitarian adj.,
3016,humanity,人間愛、人間性、人気,16,C1,,,,,,,,,pending,humanity n.,
3017,humble,謙虚、控えめ、神妙,16,C1,,,,,,,,,pending,humble adj.,
3018,humor,機嫌、気色、ご機嫌,8,B2,,,,,,,,,pending,humor n.,
3019,humorous,滑稽、面白おかしい、ユーモラス,8,B2,,,,,,,,,pending,humorous adj.,
3020,hundred,一束、１００、ハンドレッド,1,A1,,,,,,,,,pending,hundred number,
3021,hunger,渇き、飢え、飢餓,8,B2,,,,,,,,,pending,hunger n.,
3022,hungry,饑い、腹ペコ、ハングリー,1,A1,,,,,,,,,pending,hungry adj.,
3023,hunt,求める、狩る、探索,4,B1,,,,,,,,,pending,hunt v.,
3024,hunt,探索、巻狩り、ハント,8,B2,,,,,,,,,pending,hunt n.,
3025,hunting,探索、巻狩り、狩り,8,B2,,,,,,,,,pending,hunting n.,
3026,hurricane,颶風、台風、ハリケーン,4,B1,,,,,,,,,pending,hurricane n.,
3027,hurry,急かす、急き立てる、急ぐ,4,B1,,,,,,,,,pending,"hurry n., v.",
3028,hurt,怪我、苦しめる、故障,2,A2,,,,,,,,,pending,"hurt v., adj.",
3029,hurt,怪我、故障、傷,8,B2,,,,,,,,,pending,hurt n.,
3030,husband,お父さん、主、旦那,1,A1,,,,,,,,,pending,husband n.,
3031,hybrid,間の子、雑種、混成物,32,C2,,,,,,,,,pending,hybrid (n),
3032,hydrogen,水素、Ｈ,16,C1,,,,,,,,,pending,hydrogen n.,
3033,hyperbole,誇大、誇張法,32,C2,,,,,,,,,pending,hyperbole (n),
3034,hypocrisy,偽善,32,C2,,,,,,,,,pending,hypocrisy (n),
3035,hypothesis,憶説、仮言、仮定,8,B2,,,,,,,,,pending,hypothesis n.,
3036,hypothetical,仮言的、仮,32,C2,,,,,,,,,pending,hypothetical (adj),
3037,hysteria,ヒス、ヒステリー,32,C2,,,,,,,,,pending,hysteria (n),
3038,I,私は,1,A1,,,,,,,,,pending,I pron.,
3039,ice,氷、氷柱、結氷,1,A1,,,,,,,,,pending,ice n.,
3040,ice,氷、氷柱、結氷,1,A1,,,,,,,,,pending,ice cream n.,
3041,icon,聖像、図像、聖画像,8,B2,,,,,,,,,pending,icon n.,
3042,iconoclasm,偶像破壊、アイコノクラズム,32,C2,,,,,,,,,pending,iconoclasm (n),
3043,iconoclast,異端者,32,C2,,,,,,,,,pending,iconoclast (n),
3044,ID,身元、身分証明書、直接支配,8,B2,,,,,,,,,pending,ID n.,
3045,idea,案、一案、一策,1,A1,,,,,,,,,pending,idea n.,
3046,ideal,極致、好適、最良,8,B2,,,,,,,,,pending,ideal n.,
3047,ideal,好適、最良、絶好,2,A2,,,,,,,,,pending,ideal adj.,
3048,identical,一様、等しい、同一,8,B2,,,,,,,,,pending,identical adj.,
3049,identification,確認、鑑識、指摘,16,C1,,,,,,,,,pending,identification n.,
3050,identify,指す、突き止める、アイデンティファイ,2,A2,,,,,,,,,pending,identify v.,
3051,identity,恒等式、氏名、主体性,4,B1,,,,,,,,,pending,identity n.,
3052,ideological,思想的、イデオロギッシュ,16,C1,,,,,,,,,pending,ideological adj.,
3053,ideologue,主義者、イデオローグ,32,C2,,,,,,,,,pending,ideologue (n),
3054,ideology,思想、理念、観念形態,16,C1,,,,,,,,,pending,ideology n.,
3055,idiosyncrasy,一癖、個人性、個性,32,C2,,,,,,,,,pending,idiosyncrasy (n),
3056,idiosyncratic,個性的、癖のある,32,C2,,,,,,,,,pending,idiosyncratic (adj),
3057,idiot,惚け、猿、間抜け,16,C1,,,,,,,,,pending,idiot n.,
3058,idyllic,牧歌的,32,C2,,,,,,,,,pending,idyllic (adj),
3059,if,もし〜なら,1,A1,,,,,,,,,pending,if conj.,
3060,ignominious,不名誉な,32,C2,,,,,,,,,pending,ignominious (adj),
3061,ignominy,不名誉、屈辱,32,C2,,,,,,,,,pending,ignominy (n),
3062,ignorance,不案内、不知、不明,16,C1,,,,,,,,,pending,ignorance n.,
3063,ignore,曲げる、振り切る、不問に付す,4,B1,,,,,,,,,pending,ignore v.,
3064,ill,病める、悪し様に,2,A2,,,,,,,,,pending,ill adj.,
3065,ill-advised,無謀,32,C2,,,,,,,,,pending,ill-advised (adj),
3066,illegal,違法、反社会的、非合法,4,B1,,,,,,,,,pending,illegal adj.,
3067,illicit,違法、黒い、裏口,32,C2,,,,,,,,,pending,illicit (adj),
3068,illness,疾患、疾病、症,2,A2,,,,,,,,,pending,illness n.,
3069,illusion,幻、幻影、幻覚,8,B2,,,,,,,,,pending,illusion n.,
3070,illustrate,説明する、図示する,8,B2,,,,,,,,,pending,illustrate v.,
3071,illustration,絵図、実例、図,8,B2,,,,,,,,,pending,illustration n.,
3072,image,映像、画像、画面,2,A2,,,,,,,,,pending,image n.,
3073,imagery,心象、比喩表現,16,C1,,,,,,,,,pending,imagery n.,
3074,imaginary,架空、空想的、有りもしない,4,B1,,,,,,,,,pending,imaginary adj.,
3075,imagination,仮想、考え、想像,8,B2,,,,,,,,,pending,imagination n.,
3076,imagine,考える、偲ぶ、描き出す,1,A1,,,,,,,,,pending,imagine v.,
3077,imbue,注ぎ込む,32,C2,,,,,,,,,pending,imbue (v),
3078,immaculate,清潔、無垢、雪白,32,C2,,,,,,,,,pending,immaculate (adj),
3079,immeasurably,計り知れないほど,32,C2,,,,,,,,,pending,immeasurably (adv),
3080,immediate,直接、早急、電撃的,4,B1,,,,,,,,,pending,immediate adj.,
3081,immediately,即時、直接、一気に,2,A2,,,,,,,,,pending,immediately adv.,
3082,immense,広大、絶大、大層,16,C1,,,,,,,,,pending,immense adj.,
3083,immensity,広大さ、巨大さ,32,C2,,,,,,,,,pending,immensity (n),
3084,immigrant,移民、移住者、移住民,4,B1,,,,,,,,,pending,immigrant n.,
3085,immigration,移住、移民、入植,8,B2,,,,,,,,,pending,immigration n.,
3086,imminent,目の前、急迫した,16,C1,,,,,,,,,pending,imminent adj.,
3087,immortal,不滅、不朽、千古不滅,32,C2,,,,,,,,,pending,immortal (adj),
3088,immune,免疫のある、影響を受けない,8,B2,,,,,,,,,pending,immune adj.,
3089,immutable,不易、不変,32,C2,,,,,,,,,pending,immutable (adj),
3090,impact,影響、影響を及ぼす、衝撃,4,B1,,,,,,,,,pending,"impact n., v.",
3091,impair,損なう、弱める,32,C2,,,,,,,,,pending,impair (v),
3092,impartial,厳正、明るい、無色,32,C2,,,,,,,,,pending,impartial (adj),
3093,impasse,袋小路、隘路、行き詰まり,32,C2,,,,,,,,,pending,impasse (n),
3094,impassive,無表情の、冷静な,32,C2,,,,,,,,,pending,impassive (adj),
3095,impatient,焦れったい、気が短い、歯痒い,8,B2,,,,,,,,,pending,impatient adj.,
3096,impeachment,訴追、弾劾,32,C2,,,,,,,,,pending,impeachment (n),
3097,impeccable,非の打ち所がない、一分の隙もない,32,C2,,,,,,,,,pending,impeccable (adj),
3098,impede,妨げる,32,C2,,,,,,,,,pending,impede (v),
3099,impediment,支障、邪魔者、障害,32,C2,,,,,,,,,pending,impediment (n),
3100,imperative,欠かせない、急務,32,C2,,,,,,,,,pending,imperative (adj),
3101,imperceptibly,気づかれないほどに,32,C2,,,,,,,,,pending,imperceptibly (adv),
3102,imperialism,帝国主義、帝政、二七年テーゼ,32,C2,,,,,,,,,pending,imperialism (n),
3103,imperil,脅かす、危険にさらす,32,C2,,,,,,,,,pending,imperil (v),
3104,imperious,鼻息が荒い、鼻息の荒い、権柄尽く,32,C2,,,,,,,,,pending,imperious (adj),
3105,impertinent,烏滸がましい、生意気、猪口才,32,C2,,,,,,,,,pending,impertinent (adj),
3106,imperturbable,泰然自若、従容自若,32,C2,,,,,,,,,pending,imperturbable (adj),
3107,impervious,無感覚,32,C2,,,,,,,,,pending,impervious (adj),
3108,impetuous,性急,32,C2,,,,,,,,,pending,impetuous (adj),
3109,impetus,運動力、衝動、勢い,32,C2,,,,,,,,,pending,impetus (n),
3110,implacable,冷酷無情、冷酷無惨,32,C2,,,,,,,,,pending,implacable (adj),
3111,implausible,怪しい、信じがたい、信じられない,32,C2,,,,,,,,,pending,implausible (adj),
3112,implement,器具、器物、工具,8,B2,,,,,,,,,pending,implement v.,
3113,implementation,実現、実行、実施,16,C1,,,,,,,,,pending,implementation n.,
3114,implication,意味合い、含み、含意,8,B2,,,,,,,,,pending,implication n.,
3115,imply,含む、仄めかす、寓する,8,B2,,,,,,,,,pending,imply v.,
3116,import,取り込む、輸入、インポート,4,B1,,,,,,,,,pending,"import n., v.",
3117,importance,重大性、重点、重要性,4,B1,,,,,,,,,pending,importance n.,
3118,important,偉い、緊要、主,1,A1,,,,,,,,,pending,important adj.,
3119,impose,押し付ける、科する、課す,8,B2,,,,,,,,,pending,impose v.,
3120,impossible,難しい、不可能、不能,2,A2,,,,,,,,,pending,impossible adj.,
3121,impracticable,実行不可能な,32,C2,,,,,,,,,pending,impracticable (adj),
3122,impregnable,険しい、難攻不落、金城鉄壁,32,C2,,,,,,,,,pending,impregnable (adj),
3123,impress,圧倒、狩り出す、心を捉える,8,B2,,,,,,,,,pending,impress v.,
3124,impressed,感銘を受けた,8,B2,,,,,,,,,pending,impressed adj.,
3125,impression,圧痕、印象、感じ,4,B1,,,,,,,,,pending,impression n.,
3126,impressive,印象的、魁偉、厳か,4,B1,,,,,,,,,pending,impressive adj.,
3127,imprison,閉じ込める、押し込める,16,C1,,,,,,,,,pending,imprison v.,
3128,impromptu,即興的、偶成、即興,32,C2,,,,,,,,,pending,impromptu (adj),
3129,impropriety,失当、不義、不行状,32,C2,,,,,,,,,pending,impropriety (n),
3130,improve,引き立つ、化する、改める,1,A1,,,,,,,,,pending,improve v.,
3131,improvement,維持、加筆、回復,4,B1,,,,,,,,,pending,improvement n.,
3132,impudence,厚顔、生、小生意気,32,C2,,,,,,,,,pending,impudence (n),
3133,impugn,疑う、非難する,32,C2,,,,,,,,,pending,impugn (v),
3134,impunity,罰を受けないこと,32,C2,,,,,,,,,pending,impunity (n),
3135,in,〜の中に、〜で,1,A1,,,,,,,,,pending,"in prep., adv.",
3136,inability,困難、不能、不敏,16,C1,,,,,,,,,pending,inability n.,
3137,inadequacy,不適、不適当、不備,32,C2,,,,,,,,,pending,inadequacy (n),
3138,inadequate,甘い、至らない、舌足らず,16,C1,,,,,,,,,pending,inadequate adj.,
3139,inadvertent,迂闊、不用意、ふとした,32,C2,,,,,,,,,pending,inadvertent (adj),
3140,inane,間抜け,32,C2,,,,,,,,,pending,inane (adj),
3141,inappropriate,場違い、不穏当、不相応,16,C1,,,,,,,,,pending,inappropriate adj.,
3142,inaugurate,就任させる、開始する,32,C2,,,,,,,,,pending,inaugurate (v),
3143,incarcerate,投獄する,16,C1,,,,,,,,,pending,incarcerate v.,
3144,incarceration,禁錮、投獄、幽閉,16,C1,,,,,,,,,pending,incarceration n.,
3145,incarnation,化身、具現、権化,32,C2,,,,,,,,,pending,incarnation (n),
3146,incendiary,挑発的、火付け役,32,C2,,,,,,,,,pending,incendiary (adj),
3147,incense,薫香、香料、抹香,32,C2,,,,,,,,,pending,incense (v),
3148,incentive,奨励金、動機、誘い水,8,B2,,,,,,,,,pending,incentive n.,
3149,inception,緒,32,C2,,,,,,,,,pending,inception (n),
3150,incessant,頻繁、激しい、絶え間ない,32,C2,,,,,,,,,pending,incessant (adj),
3151,inch,吋、型、１ミリ,8,B2,,,,,,,,,pending,inch n.,
3152,incidence,度数、入射、発生,16,C1,,,,,,,,,pending,incidence n.,
3153,incident,沙汰、事、事件,8,B2,,,,,,,,,pending,incident n.,
3154,incisive,峻烈,32,C2,,,,,,,,,pending,incisive (adj),
3155,incite,唆る、唆す、煽る,32,C2,,,,,,,,,pending,incite (v),
3156,inclement,厳しい、雨が多い、雨の多い,32,C2,,,,,,,,,pending,inclement (adj),
3157,inclination,下地、傾き、傾角,32,C2,,,,,,,,,pending,inclination (n),
3158,inclined,傾いた、〜する傾向がある,16,C1,,,,,,,,,pending,inclined adj.,
3159,include,加える、含ます、含ませる,1,A1,,,,,,,,,pending,include v.,
3160,included,加える、含ます、含ませる,2,A2,,,,,,,,,pending,included adj.,
3161,including,加える、含ます、含ませる,2,A2,,,,,,,,,pending,including prep.,
3162,inclusion,加味、含み、組み込み,16,C1,,,,,,,,,pending,inclusion n.,
3163,inclusive,包括的、包含的、インクルーシブ,32,C2,,,,,,,,,pending,inclusive (adj),
3164,income,収穫高、収入、所得,8,B2,,,,,,,,,pending,income n.,
3165,incomprehensible,解せない、割り切れない、不可解,32,C2,,,,,,,,,pending,incomprehensible (adj),
3166,inconceivable,思いもよらない、思っても見ない、考えもつかない,32,C2,,,,,,,,,pending,inconceivable (adj),
3167,incongruity,不調和、不突合,32,C2,,,,,,,,,pending,incongruity (n),
3168,incongruous,不調和な、場違いな,32,C2,,,,,,,,,pending,incongruous (adj),
3169,incontrovertible,否めない,32,C2,,,,,,,,,pending,incontrovertible (adj),
3170,incorporate,盛り込む、組み込む、組み入れる,8,B2,,,,,,,,,pending,incorporate v.,
3171,incorrect,不正解,8,B2,,,,,,,,,pending,incorrect adj.,
3172,incorrigible,度し難い、手に負えない、始末が悪い,32,C2,,,,,,,,,pending,incorrigible (adj),
3173,increase,加える、加わる、加増,2,A2,,,,,,,,,pending,"increase v., n.",
3174,increasingly,愈、段々、益々,8,B2,,,,,,,,,pending,increasingly adv.,
3175,incredible,圧巻、奇想天外、神,2,A2,,,,,,,,,pending,incredible adj.,
3176,incredibly,目茶苦茶、唸るほど、ものっそい,4,B1,,,,,,,,,pending,incredibly adv.,
3177,incredulity,信じられない気持ち、懐疑,32,C2,,,,,,,,,pending,incredulity (n),
3178,incredulous,疑い深い、疑り深い、半信半疑,32,C2,,,,,,,,,pending,incredulous (adj),
3179,incumbency,在任期間,32,C2,,,,,,,,,pending,incumbency (n),
3180,incumbent,現職,32,C2,,,,,,,,,pending,incumbent (n),
3181,incur,受ける、招く、負う,16,C1,,,,,,,,,pending,incur v.,
3182,incursion,侵入、入寇,32,C2,,,,,,,,,pending,incursion (n),
3183,indeed,如何にも、蓋し、実際,4,B1,,,,,,,,,pending,indeed adv.,
3184,indefatigable,逞しい,32,C2,,,,,,,,,pending,indefatigable (adj),
3185,indelible,忘れられない,32,C2,,,,,,,,,pending,indelible (adj),
3186,indemnify,償う,32,C2,,,,,,,,,pending,indemnify (v),
3187,independence,一本立ち、自主、自立,8,B2,,,,,,,,,pending,independence n.,
3188,independent,自主的、主体的、独自,2,A2,,,,,,,,,pending,independent adj.,
3189,index,見出し、索引、指針,8,B2,,,,,,,,,pending,index n.,
3190,indicate,語る、告げる、指し示す,4,B1,,,,,,,,,pending,indicate v.,
3191,indication,開示、気色、気配,8,B2,,,,,,,,,pending,indication n.,
3192,indicator,指針、指標、表示板,16,C1,,,,,,,,,pending,indicator n.,
3193,indictment,起訴、告発、訴追,16,C1,,,,,,,,,pending,indictment n.,
3194,indifference,知らん顔、中性、不感症,32,C2,,,,,,,,,pending,indifference (n),
3195,indifferent,頓着ない、無縁、無関心,32,C2,,,,,,,,,pending,indifferent (adj),
3196,indigenous,土着、常在,16,C1,,,,,,,,,pending,indigenous adj.,
3197,indignant,憮然、憤然、慨然,32,C2,,,,,,,,,pending,indignant (adj),
3198,indignation,激怒、怒り、憤慨,32,C2,,,,,,,,,pending,indignation (n),
3199,indirect,迂遠、間接的、婉曲,4,B1,,,,,,,,,pending,indirect adj.,
3200,indiscretion,過ち、間違い、罪,32,C2,,,,,,,,,pending,indiscretion (n),
3201,individual,個人的、個性的、単一,2,A2,,,,,,,,,pending,"individual n., adj.",
3202,indoctrination,教化、インドクトリネーション,32,C2,,,,,,,,,pending,indoctrination (n),
3203,indolent,怠惰、尻が重い、どら,32,C2,,,,,,,,,pending,indolent (adj),
3204,indomitable,不抜、逞しい,32,C2,,,,,,,,,pending,indomitable (adj),
3205,indoor,屋内、室内、インドア,4,B1,,,,,,,,,pending,indoor adj.,
3206,indoors,屋内、室内、内回り,4,B1,,,,,,,,,pending,indoors adv.,
3207,induce,引き起こす、誘う、来す,16,C1,,,,,,,,,pending,induce v.,
3208,inducement,勧誘、奨励、誘起,32,C2,,,,,,,,,pending,inducement (n),
3209,induction,感応、帰納、帰納法,32,C2,,,,,,,,,pending,induction (n),
3210,indulge,淫する,16,C1,,,,,,,,,pending,indulge v.,
3211,indulgent,甘い、鈍い,32,C2,,,,,,,,,pending,indulgent (adj),
3212,industrial,インダストリアル、産業用,8,B2,,,,,,,,,pending,industrial adj.,
3213,industrious,勤勉、手まめ,32,C2,,,,,,,,,pending,industrious (adj),
3214,industry,勧業、業界、勤倹,2,A2,,,,,,,,,pending,industry n.,
3215,ineffable,言葉に表せない,32,C2,,,,,,,,,pending,ineffable (adj),
3216,inept,拙い、不束,32,C2,,,,,,,,,pending,inept (adj),
3217,ineptitude,不手際,32,C2,,,,,,,,,pending,ineptitude (n),
3218,inequality,凹凸、不均衡、不均等,16,C1,,,,,,,,,pending,inequality n.,
3219,inequity,不公平、不公正,32,C2,,,,,,,,,pending,inequity (n),
3220,inertia,慣性、惰力、惰性,32,C2,,,,,,,,,pending,inertia (n),
3221,inevitable,仕方がない、仕方ない、仕様がない,8,B2,,,,,,,,,pending,inevitable adj.,
3222,inevitably,やむを得ず、否応なしに、必定,8,B2,,,,,,,,,pending,inevitably adv.,
3223,inexhaustible,尽きない、底知れない、底知れぬ,32,C2,,,,,,,,,pending,inexhaustible (adj),
3224,inexorable,容赦ない、避けられない,32,C2,,,,,,,,,pending,inexorable (adj),
3225,infallible,百発百中,32,C2,,,,,,,,,pending,infallible (adj),
3226,infamous,破廉恥、悪名高い、札付き,16,C1,,,,,,,,,pending,infamous adj.,
3227,infamy,悪評、汚名,32,C2,,,,,,,,,pending,infamy (n),
3228,infant,嬰児、小児、赤ちゃん,16,C1,,,,,,,,,pending,infant n.,
3229,infatuation,執心、女狂い、痴情,32,C2,,,,,,,,,pending,infatuation (n),
3230,infect,移す,16,C1,,,,,,,,,pending,infect v.,
3231,infection,感染、伝染、感染症,8,B2,,,,,,,,,pending,infection n.,
3232,infer,窺う、割り出す、察知,8,B2,,,,,,,,,pending,infer v.,
3233,inferno,焦熱地獄、インフェルノ,32,C2,,,,,,,,,pending,inferno (n),
3234,infirmary,病院、診療所、病舎,32,C2,,,,,,,,,pending,infirmary (n),
3235,inflammatory,挑発的、煽情的、炎症性,32,C2,,,,,,,,,pending,inflammatory (adj),
3236,inflation,水増し、膨満、物価上昇率,8,B2,,,,,,,,,pending,inflation n.,
3237,inflict,加える、科する、食わせる,16,C1,,,,,,,,,pending,inflict v.,
3238,influence,斡旋、影響、影響を及ぼす,4,B1,,,,,,,,,pending,"influence n., v.",
3239,influential,有力、羽振りが良い、羽振りの良い,16,C1,,,,,,,,,pending,influential adj.,
3240,influx,流入,32,C2,,,,,,,,,pending,influx (n),
3241,info,情報,8,B2,,,,,,,,,pending,info n.,
3242,inform,教える、告げる、断る,8,B2,,,,,,,,,pending,inform v.,
3243,informal,手軽、非公式、略式,2,A2,,,,,,,,,pending,informal adj.,
3244,information,案内、一報、見聞,1,A1,,,,,,,,,pending,information n.,
3245,infraction,犯則、背反行為,32,C2,,,,,,,,,pending,infraction (n),
3246,infrastructure,基盤、国土交通省、基礎構造,8,B2,,,,,,,,,pending,infrastructure n.,
3247,ingenious,器用、巧み、巧妙,32,C2,,,,,,,,,pending,ingenious (adj),
3248,ingenuity,手前、独創性、知略,32,C2,,,,,,,,,pending,ingenuity (n),
3249,ingenuous,純真、淡泊,32,C2,,,,,,,,,pending,ingenuous (adj),
3250,ingrained,根深い、根が深い,32,C2,,,,,,,,,pending,ingrained (adj),
3251,ingredient,元、種、成分,4,B1,,,,,,,,,pending,ingredient n.,
3252,inhabitant,住人、住民、居住者,8,B2,,,,,,,,,pending,inhabitant n.,
3253,inherent,固有、先天的、生得的,16,C1,,,,,,,,,pending,inherent adj.,
3254,inherit,引く、汲む、継ぐ,8,B2,,,,,,,,,pending,inherit v.,
3255,inhibit,抑止,16,C1,,,,,,,,,pending,inhibit v.,
3256,inhospitable,もてなしの悪い、住みにくい,32,C2,,,,,,,,,pending,inhospitable (adj),
3257,inhumanity,不人情、不仁、残虐非道,32,C2,,,,,,,,,pending,inhumanity (n),
3258,inimical,有害な、敵対的な,32,C2,,,,,,,,,pending,inimical (adj),
3259,iniquitous,極めて不正な、邪悪な,32,C2,,,,,,,,,pending,iniquitous (adj),
3260,initial,一つ目、初回、初期,8,B2,,,,,,,,,pending,initial adj.,
3261,initially,当初、初めのうち、一つ目,8,B2,,,,,,,,,pending,initially adv.,
3262,initiate,始める、始む、新入り,16,C1,,,,,,,,,pending,initiate v.,
3263,initiative,試み、主体性、主導,8,B2,,,,,,,,,pending,initiative n.,
3264,inject,打つ、注ぎ込む、注射を打つ,16,C1,,,,,,,,,pending,inject v.,
3265,injection,単射、注射、注入,16,C1,,,,,,,,,pending,injection n.,
3266,injunction,諭示、禁止令、インジャンクション,32,C2,,,,,,,,,pending,injunction (n),
3267,injure,遣る、傷つける、損じる,4,B1,,,,,,,,,pending,injure v.,
3268,injured,遣る、傷つける、損じる,4,B1,,,,,,,,,pending,injured adj.,
3269,injury,怪我、害、害悪,2,A2,,,,,,,,,pending,injury n.,
3270,injustice,曲事、失当、不義,16,C1,,,,,,,,,pending,injustice n.,
3271,ink,墨汁、墨、インク,8,B2,,,,,,,,,pending,ink n.,
3272,inkling,仄めかし,32,C2,,,,,,,,,pending,inkling (n),
3273,inmate,収容者、入居者、在監者,16,C1,,,,,,,,,pending,inmate n.,
3274,inner,内的、内面的、内なる,8,B2,,,,,,,,,pending,inner adj.,
3275,innocent,純真、未通女、無垢,4,B1,,,,,,,,,pending,innocent adj.,
3276,innocuous,無難、害のない、差し障りのない,32,C2,,,,,,,,,pending,innocuous (adj),
3277,innovation,革新、更新、変革,8,B2,,,,,,,,,pending,innovation n.,
3278,innovative,革新的、斬新,8,B2,,,,,,,,,pending,innovative adj.,
3279,innuendo,当てつけ,32,C2,,,,,,,,,pending,innuendo (n),
3280,innumerable,切りがない、千万無量、無数,32,C2,,,,,,,,,pending,innumerable (adj),
3281,input,入射、入力、入力線,8,B2,,,,,,,,,pending,input n.,
3282,inquire,伺う、尋ねる、調べる,16,C1,,,,,,,,,pending,inquire v.,
3283,inquiry,お見舞い、下問、糾問,8,B2,,,,,,,,,pending,inquiry n.,
3284,inquisition,宗教裁判、異端審問,32,C2,,,,,,,,,pending,inquisition (n),
3285,insatiable,強欲、飽くなき、飽くことを知らない,32,C2,,,,,,,,,pending,insatiable (adj),
3286,inscrutable,解せない、不可解、端倪すべからざる,32,C2,,,,,,,,,pending,inscrutable (adj),
3287,insect,昆虫、虫、虫螻,2,A2,,,,,,,,,pending,insect n.,
3288,insert,挟み込む、差し込む、差し入れる,8,B2,,,,,,,,,pending,insert v.,
3289,insertion,掲載、組み込み、挿入,16,C1,,,,,,,,,pending,insertion n.,
3290,inside,内面的、奥、楽屋,2,A2,,,,,,,,,pending,"inside prep., adv., n., adj.",
3291,insider,早耳、消息通、内角球,16,C1,,,,,,,,,pending,insider n.,
3292,insidious,陰険な、知らぬ間に進行する,32,C2,,,,,,,,,pending,insidious (adj),
3293,insight,眼識、眼力、識見,8,B2,,,,,,,,,pending,insight n.,
3294,insipid,無味乾燥、味気ない、無味,32,C2,,,,,,,,,pending,insipid (adj),
3295,insist,言い張る、言い立てる、唱える,8,B2,,,,,,,,,pending,insist v.,
3296,insolent,横柄、不届き、不埒,32,C2,,,,,,,,,pending,insolent (adj),
3297,insoluble,解けない、不溶,32,C2,,,,,,,,,pending,insoluble (adj),
3298,insouciant,無頓着な、のんきな,32,C2,,,,,,,,,pending,insouciant (adj),
3299,inspect,改める、拝観、閲する,16,C1,,,,,,,,,pending,inspect v.,
3300,inspection,一覧、閲覧、監察,16,C1,,,,,,,,,pending,inspection n.,
3301,inspector,尉、監査役、監察,8,B2,,,,,,,,,pending,inspector n.,
3302,inspiration,感化、感興、感激,16,C1,,,,,,,,,pending,inspiration n.,
3303,inspire,乗り移る、吹き込む、動かす,8,B2,,,,,,,,,pending,inspire v.,
3304,install,移設、引く、備える,8,B2,,,,,,,,,pending,install v.,
3305,installation,安置、冊立、実装,8,B2,,,,,,,,,pending,installation n.,
3306,instance,一例、回、拍子,8,B2,,,,,,,,,pending,instance n.,
